,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
8241,POINT (16.344412952605854 48.196932416557914),,Gebäude,,,1905.0,,Bauwerke,Zum Münchner Boten,https://www.geschichtewiki.wien.gv.at/?curid=14411,Mariahilfer Straße 100,Gebäude
8247,POINT (16.355222222980434 48.203613461218076),,Gebäude,,,,,Bauwerke,Zum heiligen Christoph,https://www.geschichtewiki.wien.gv.at/?curid=19499,Spittelberggasse 22,Gebäude
8249,POINT (16.355398782186658 48.20411291558004),,Gebäude,,,,1750.0,Bauwerke,Zum heiligen Josef (Giebelhaus),https://www.geschichtewiki.wien.gv.at/?curid=20028,Gutenberggasse 29,Gebäude
8254,POINT (16.348269992108186 48.20416919760155),,Gebäude,,,,1690.0,Bauwerke,Zum langen Keller,https://www.geschichtewiki.wien.gv.at/?curid=3409,Burggasse 67,Gebäude
8259,POINT (16.355687862234227 48.20296659001965),,Gebäude,,,,,bauwerke,Zum roten Apfel (7),https://www.geschichtewiki.wien.gv.at/?curid=26091,Gutenberggasse 7,Gebäude
8262,POINT (16.354978508760215 48.20377259161554),,Gebäude,,,,1976.0,Bauwerke,Zum roten Engel,https://www.geschichtewiki.wien.gv.at/?curid=14312,Spittelberggasse 15,Gebäude
8289,POINT (16.35400798896044 48.19990466848028),,Gebäude,,,,1904.0,bauwerke,Warenhaus Gerngroß,https://www.geschichtewiki.wien.gv.at/?curid=40201,Mariahilfer Straße 38-40,Gebäude
8291,POINT (16.35527399194739 48.20029405149742),,Gebäude,,,,1896.0,bauwerke,Warenhaus Herzmansky,https://www.geschichtewiki.wien.gv.at/?curid=12800,Mariahilfer Straße 26-30,Gebäude
8294,POINT (16.358547384025957 48.201283704599),,Gebäude,,,,1894.0,Bauwerke,Warenhaus Stephan Esders,https://www.geschichtewiki.wien.gv.at/?curid=12944,Karl-Schweighofer-Gasse 1,Gebäude
8298,POINT (16.353422868045428 48.20405801132898),,Gebäude,,,,,Bauwerke,Zum Schwarzwälder Bauern,https://www.geschichtewiki.wien.gv.at/?curid=4790,Sigmundsgasse 16,Gebäude
8302,POINT (16.35167979825774 48.20432499936554),,Gebäude,,,1881.0,,Bauwerke,Zum Sperl (7),https://www.geschichtewiki.wien.gv.at/?curid=6100,Kirchengasse 44,Gebäude
8311,POINT (16.35684598214649 48.20316531739154),,Gebäude,,,,1890.0,Bauwerke,Zum blauen Hecht (7),https://www.geschichtewiki.wien.gv.at/?curid=6672,Breite Gasse 3,Gebäude
8340,POINT (16.34971293681184 48.19832595422935),,,,,,1918.0,organisationen,Maria-Theresien-Kino,https://www.geschichtewiki.wien.gv.at/?curid=63192,Neubaugasse 1,Kino
8450,POINT (16.348400063570843 48.19787670983086),,,,,,1921.0,organisationen,Kino Mariahilfer Straße 78,https://www.geschichtewiki.wien.gv.at/?curid=61004,Mariahilfer Straße 78-80,Kino
8455,POINT (16.347054945697366 48.19750407585019),,,,,1930.0,1919.0,organisationen,Kino im Zitahof,https://www.geschichtewiki.wien.gv.at/?curid=61003,Mariahilfer Straße 88,Kino
8468,POINT (16.34102849846706 48.20194283096979),,,,,,1921.0,organisationen,Metropol Kino,https://www.geschichtewiki.wien.gv.at/?curid=61005,Westbahnstraße 48,Kino
